#{"t_start": 1753803606.2874608, "env_id": "None"}
r,l,t
0.0,273368,66.723356
0.0,281424,126.72647
0.0,145705,186.736664
0.0,187916,247.273639
0.0,280348,307.276345
0.0,280419,372.167749
0.0,284615,432.170034
0.0,279131,492.18371
0.0,282219,552.196524
0.0,283628,612.198506
0.0,282665,677.130238
0.0,279843,737.132627
0.0,281381,797.13499
0.0,281253,857.140538
0.0,247101,917.159022
0.0,283430,982.384605
0.0,281968,1042.390864
0.0,280384,1102.398079
0.0,280345,1162.400914
0.0,75379,1222.407007
0.0,64005,1298.665781
0.0,69085,1358.670658
0.0,66334,1418.673687
0.0,59979,1478.688224
0.0,69613,1538.698583
0.0,278449,1607.81407
0.0,279567,1667.824057
0.0,270848,1727.825569
0.0,66029,1787.830726
0.0,59202,1847.832427
0.0,65691,1925.997489
0.0,100270,1985.99999
0.0,151614,2046.57492
0.0,104696,2106.576147
0.0,51379,2166.578289
0.0,52172,2248.834911
0.0,53094,2308.837016
0.0,55837,2368.838212
0.0,78784,2428.840395
0.0,210108,2488.844579
0.0,54314,2568.819852
0.0,55000,2628.822262
0.0,53976,2688.824574
0.0,52591,2748.826646
0.0,129486,2808.83107
0.0,277797,2873.87282
0.0,277608,2933.874894
0.0,274039,2993.880572
0.0,274529,3053.881351
0.0,269474,3113.886076
0.0,273791,3180.090842
0.0,276467,3240.099063
0.0,219228,3300.106747
0.0,53230,3360.115053
0.0,51734,3420.117608
0.0,51853,3501.932873
0.0,54509,3561.936577
0.0,53074,3621.9427
0.0,53008,3681.947089
0.0,53478,3741.948963
0.0,54672,3818.910318
0.0,52421,3878.911996
0.0,51360,3938.914742
0.0,52951,3998.916675
0.0,57694,4058.918903
0.0,116254,4136.458834
0.0,215035,4196.463852
0.0,52826,4256.470331
0.0,52489,4316.473559
0.0,51349,4376.477864
0.0,51962,4458.511722
0.0,54366,4518.514229
0.0,49986,4578.516484
0.0,52927,4638.519432
0.0,51107,4698.522435
0.0,53431,4775.139852
0.0,50326,4835.1434
0.0,49448,4895.145585
0.0,49106,4955.148287
0.0,50585,5015.152262
0.0,150876,5095.870855
0.0,48866,5155.881019
0.0,48852,5215.884573
0.0,49951,5275.886774
0.0,48435,5335.890363
0.0,48088,5420.105791
0.0,49170,5480.108475
0.0,48020,5540.11132
0.0,44621,5600.113794
0.0,44886,5660.122648
0.0,138077,5742.601486
0.0,272954,5803.146378
0.0,271803,5863.150844
0.0,217865,5923.155948
0.0,53576,5983.1628
0.0,47731,6061.613907
0.0,51652,6121.619182
0.0,54897,6181.621081
0.0,53953,6241.623127
0.0,149903,6301.63556
